part_number,qty,amount
423110-14180-B1L,758,2221
423110-14180-B2M,767,2230
423110-14180-C0H,776,2239
423110-14180-E2N,785,2248
423110-14180-F10,794,2257
423110-14180-E37,803,2266
423110-14190,812,2275
423130-11870-A01,821,2284
423130-11870-B1L,830,2293
423130-11870-B2M,839,2302
423130-11870-C0H,848,2311
423130-11870-E2N,857,2320
423130-11870-F10,866,2329
423130-11870-E37,875,2338
423130-11880,884,2347
423275-11050-A01,893,2356
423275-11050-B1L,902,2365
423275-11050-B2M,911,2374
423275-11050-C0H,920,2383
423275-11050-F10,929,2392
423275-11050-E2N,938,2401
423275-11050-E37,947,2410
423205-10720-A01,956,2419
423205-10720-B1L,965,2428
423205-10720-B2M,974,2437
423205-10720-C0H,983,2446
423205-10720-F10,992,2455
423205-10720-E2N,1001,2464
423205-10720-E37,1010,2473
423275-11050,1019,2482
423205-10740,1028,2491
423141-11360,1037,2500
423187-10551,1046,2509
455105-10970,1055,2518
455106-10840,1064,2527
455107-11010,1073,2536
455108-10950,1082,2545
455107-11020,1091,2554
455108-10970,1100,2563
423601-12320-11H,1109,2572
423601-12230-200,1118,2581
423602-11940-200,1127,2590
423602-11940-438,1136,2599
423601-12230-438,1145,2608
423602-11940-12N,1154,2617
423601-12230-12N,1163,2626
423602-12030-12N,1172,2635
423601-12320-12N,1181,2644
423601-12230,1190,2653
423602-11940,1199,2662
423602-12030-11H,1208,2671
455105-10890,1217,2680
455106-10780,1226,2689
455107-10920,1235,2698
,1244,2707
455105-10950,1253,2716
455106-10830,1262,2725
455107-10980,1271,2734
455108-10900,1280,2743
455105-10950,1289,2752
455106-10830,1298,2761
455107-10980,1307,2770
455108-10900,1316,2779
423110-13430,1325,2788
423120-10700,1334,2797
423110-13160,1343,2806
423120-10640,1352,2815
423130-11790,5,100
423130-11790-A0A,8,160
423130-11790,11,220
423130-11780,14,280
423130-11790,17,340
423130-11790-B1L,20,400
423120-13690,23,460
423120-13690,26,520
423120-13690-B1L,29,580
423110-13690,32,640
423110-13690,35,700
423110-13640,38,760
423110-13690,41,820
423140-11780,44,880
423110-13690,47,940
423120-13690,50,1000
423140-11790-A0A,53,1060
423140-11790,56,1120
423110-13690-B1L,59,1180
423140-11790,62,1240
423140-11790-B1L,65,1300
423140-11790,68,1360
423120-13690,71,1420
423120-13640,74,1480
423130-11790,77,1540
423140-11790,78,1541
423120-13690,79,1542
423110-13690,80,1543
423501-10140,81,1544
,82,1545
423110-10410,83,1546
423110-10410,84,1547
423111-10100,85,1548
423207-10420,86,1549
423207-10420,87,1550
423205-10040,88,1551
423205-10040,89,1552
423207-10200,90,1553
423207-10420,91,1554
423205-10040,92,1555
423205-10050,93,1556
423205-10030,94,1557
423275-10010,95,1558
423207-10420,96,1559
423207-10420,97,1560
423207-10420,98,1561
423207-10420,99,1562
423207-10420,100,1563
423207-10420,101,1564
423207-10420,110,1573
423207-10420,119,1582
423207-10210,128,1591
423207-10420,137,1600
423205-10040,146,1609
423207-10420,155,1618
423207-10420,164,1627
423205-10040,173,1636
423207-10420,182,1645
423207-10420,191,1654
423207-10420,200,1663
423110-13710,209,1672
423110-13710,218,1681
423110-13710,227,1690
423110-13710,236,1699
423110-13710,245,1708
423110-13710,254,1717
423110-13710,263,1726
423110-13710,272,1735
423110-10670,281,1744
423110-13710,290,1753
423105-10150,299,1762
423106-10110,308,1771
423107-10660,317,1780
423108-10650,326,1789
423105-10310,335,1798
423106-10200,344,1807
423107-10450,353,1816
423108-10430,362,1825
423107-10900,371,1834
423108-10870,380,1843
423105-11460,389,1852
423105-11450,398,1861
423106-11460,407,1870
423106-11450,416,1879
423107-11590,425,1888
423108-11590,434,1897
423207-10220,443,1906
423207-10230,452,1915
423205-10180,461,1924
423207-10220,470,1933
423275-10310,479,1942
423205-10180,488,1951
423207-10220,497,1960
423205-10180,506,1969
423207-10220,515,1978
423205-10180,524,1987
423207-10220,533,1996
423205-10180,542,2005
423207-10220,551,2014
423205-10180,560,2023
423205-10180,569,2032
423207-10220,578,2041
423205-10180,587,2050
423207-10220,596,2059
423207-10220,605,2068
423205-10180,614,2077
484170-10850,623,2086
423110-13830,632,2095
423110-13820-A01,641,2104
423110-13820-A0U,650,2113
423110-13820-B1R,659,2122
423110-13820-B2M,668,2131
423110-13820-C0H,677,2140
423110-13820-E2V,686,2149
423110-13820-E35,695,2158
423110-13820-J4N,704,2167
423110-13820-G3C,713,2176
423105-11660,722,2185
423106-11660,731,2194
423107-11770,740,2203
423108-11770,749,2212
423205-11460,758,2221
423205-11480-A01,767,2230
423205-11480-A0U,776,2239
423205-11480-B1R,785,2248
423205-11480-B2M,794,2257
423205-11480-C0H,803,2266
423205-11480-E2V,812,2275
423205-11480-E35,821,2284
423205-11480-J4N,830,2293
423205-11480-G3C,839,2302
423207-11180,848,2311
423207-11200-A01,857,2320
423207-11200-A0U,866,2329
423207-11200-B1R,875,2338
423207-11200-B2M,884,2347
423207-11200-C0H,893,2356
423207-11200-E2V,902,2365
423207-11200-E35,911,2374
423207-11200-J4N,920,2383
423207-11200-G3C,929,2392
439430-12511,938,2401
439430-12521,947,2410
439430-13330,956,2419
439430-13340,965,2428
439430-12531,974,2437
439430-12541,983,2446
439430-12511,992,2455
439430-12521,1001,2464
439430-13330,1010,2473
439430-13340,1019,2482
439430-12531,1028,2491
439430-12541,1037,2500
423120-14170-AA7,1046,2509
423120-14170-BAQ,1055,2518
423120-14170-CA8,1064,2527
423120-14170-BAN,1073,2536
423120-14170-EAD,1082,2545
423120-14170-DAD,1091,2554
423110-14170-AA7,1100,2563
423110-14170-BAQ,1109,2572
423110-14170-CA8,1118,2581
423110-14170-BAN,1127,2590
423110-14170-EAD,1136,2599
423110-14170-DAD,1145,2608
484180-11210-AA7,1154,2617
484180-11210-BAQ,1163,2626
484180-11210-CA8,1172,2635
484180-11210-BAN,1181,2644
484180-11210-EAD,1190,2653
484180-11210-DAD,1199,2662
484170-11210-AA7,1208,2671
484170-11210-BAQ,1217,2680
484170-11210-CA8,1226,2689
484170-11210-BAN,1235,2698
484170-11210-EAD,1244,2707
484170-11210-DAD,1253,2716
423120-14280,1262,2725
423110-14280,1271,2734
484180-11270,1280,2743
484170-11270,1289,2752
423206-11870-AA7,1298,2761
423206-11870-BAQ,1307,2770
423206-11870-CA8,1316,2779
423206-11870-BAN,1325,2788
423206-11870-EAD,1334,2797
423206-11870-DAD,1343,2806
423205-11870-AA7,1352,2815
423205-11870-BAQ,5,100
423205-11870-CA8,8,160
423205-11870-BAN,11,220
423205-11870-EAD,14,280
423205-11870-DAD,17,340
423276-12200-AA7,20,400
423276-12200-BAQ,23,460
423276-12200-CA8,26,520
423276-12200-BAN,29,580
423276-12200-EAD,32,640
423276-12200-DAD,35,700
423275-12200-AA7,38,760
423275-12200-BAQ,41,820
423275-12200-CA8,44,880
423275-12200-BAN,47,940
423275-12200-EAD,50,1000
423275-12200-DAD,53,1060
423206-11920,56,1120
423205-11920,59,1180
423276-12280,62,1240
423275-12280,65,1300
423106-11770,68,1360
423105-11770,71,1420
423142-11690,74,1480
423141-11690,77,1540
423197-10840,78,1541
423187-10840,79,1542
432722-10530,80,1543
432722-10520,81,1544
432721-10580,82,1545
432722-10360,83,1546
432721-10570,84,1547
432721-10600,85,1548
432721-10590,86,1549
432721-10560,87,1550
432722-10540,88,1551
432722-10550,89,1552
432742-10060,90,1553
432724-10310,91,1554
432724-10270,92,1555
423313-11120,93,1556
423314-11120,94,1557
484120-10771,95,1558
412414-10460,96,1559
412413-10510,97,1560
423111-10100,98,1561
426154-10540,99,1562
423111-10090,100,1563
412310-10210,101,1564
439440-10360,110,1573
412320-10270,119,1582
413113-10170,128,1591
413108-10240,137,1600
413107-10150,146,1609
423277-10990,155,1618
426104-10350,164,1627
426103-10330,173,1636
416414-10570,182,1645
416413-10490,191,1654
414610-10500,200,1663
426356-10270,209,1672
416540-11200,218,1681
416540-10990,227,1690
416540-11000,236,1699
426323-10360,245,1708
426323-10350,254,1717
413262-10410,263,1726
413261-10420,272,1735
424195-10040,281,1744
426193-10100,290,1753
423196-10220,299,1762
426193-10090,308,1771
423174-10180,317,1780
423115-10610,326,1789
423115-10630,335,1798
423111-10250,344,1807
423111-12670,353,1816
423112-12670,362,1825
423113-11050,371,1834
423114-11050,380,1843
423277-10400,389,1852
426154-10600,398,1861
426154-10610,407,1870
439440-10350,416,1879
423251-10070,425,1888
423192-10221,434,1897
423277-10200,443,1906
455179-14440,452,1915
455179-15270,461,1924
423173-10180,470,1933
423173-10160,479,1942
423171-10750,488,1951
423323-10200,497,1960
423324-10200,506,1969
423557-10020,515,1978
423186-10220,524,1987
423196-10330,533,1996
423188-10050,542,2005
423114-11040,551,2014
423181-11070,560,2023
423365-10070,569,2032
423111-12630,578,2041
423112-12630,587,2050
423187-10010,596,2059
423196-10250,605,2068
423182-10240,614,2077
423181-10280,623,2086
426195-10040,632,2095
423113-11040,641,2104
994612-10400,650,2113
413151-10010,659,2122
413152-10010,668,2131
413153-10030,677,2140
413154-10030,686,2149
413143-10040,695,2158
426192-10550,704,2167
414664-10070,713,2176
416746-10160,722,2185
416111-13180,731,2194
416112-12610,740,2203
416113-10240,749,2212
416114-10260,758,2221
416435-10370,767,2230
416436-10370,776,2239
416437-10200,785,2248
416443-10130,794,2257
416447-10050,803,2266
416551-10220,812,2275
416552-10290,821,2284
423682-10180,830,2293
423681-10290,839,2302
413135-10380,848,2311
423181-10290,857,2320
413135-10420,866,2329
413136-10410,875,2338
423182-10250,884,2347
414588-10050,893,2356
411199-10060,902,2365
416553-10150,911,2374
411241-10050,920,2383
455179-15760,929,2392
414516-10110,938,2401
414613-10120,947,2410
91511-40608,956,2419
415511-10450,965,2428
416787-10130,974,2437
455177-10360,983,2446
413285-10210,992,2455
414241-10100,1001,2464
414645-10060,1010,2473
414595-10190,1019,2482
414595-10210,1028,2491
414515-10090,1037,2500
414614-10120,1046,2509
414653-10080,1055,2518
414654-10080,1064,2527
414663-10070,1073,2536
432956-10110,1082,2545
432955-10110,1091,2554
423141-11690,1100,2563
423142-11690,1109,2572
423187-10840,1118,2581
423197-10840,1127,2590
423275-12280,1136,2599
423276-12280,1145,2608
423275-12310,1154,2617
423276-12310,1163,2626
423115-11010,1172,2635
423117-11010,1181,2644
423187-10830,1190,2653
423176-10620,1199,2662
423182-11470,1208,2671
423175-10620,1217,2680
423181-11470,1226,2689
423277-10190,1235,2698
423555-10080,1244,2707
423115-11020,1253,2716
423117-11020,1262,2725
423182-10890,1271,2734
423176-10200,1280,2743
423552-10240,1289,2752
423182-11450,1298,2761
423177-10540,1307,2770
416438-10230,1316,2779
416444-10160,1325,2788
423181-11450,1334,2797
423175-10230,1343,2806
416553-10140,1352,2815
423178-10540,5,100
416448-10070,8,160
981441-50002,11,220
414657-10050,14,280
414658-10050,17,340
414661-10080,20,400
414662-10090,23,460
416753-10030,26,520
416445-10380,29,580
416446-10500,32,640
426173-10120,35,700
416751-10160,38,760
426155-10060,41,820
426164-10150,44,880
426173-10070,47,940
455179-16040,50,1000
426192-10530,53,1060
423663-10420,56,1120
455179-15590,59,1180
423181-11180,62,1240
423178-10520,65,1300
423192-10200,68,1360
455167-16460,71,1420
423182-10870,74,1480
423176-10450,77,1540
455167-16030,78,1541
455167-16010,79,1542
423177-10520,80,1543
455167-16600,81,1544
455179-15770,82,1545
455179-15780,83,1546
423175-10470,84,1547
455179-15790,85,1548
455179-14460,86,1549
423345-10030,87,1550
455179-14770,88,1551
423346-10020,89,1552
426154-10510,90,1553
423175-10610,91,1554
426154-10530,92,1555
423176-10610,93,1556
455167-16020,94,1557
423177-10580,95,1558
455179-15320,96,1559
423178-10580,97,1560
423275-10070,98,1561
423181-11340,99,1562
423313-10410,100,1563
423314-10360,101,1564
455169-13380,110,1573
455179-14450,119,1582
423196-10100,128,1591
455169-13370,137,1600
455179-14350,146,1609
455167-16000,155,1618
455179-14560,164,1627
414513-10140,173,1636
455167-15990,182,1645
423178-10220,191,1654
414514-10170,200,1663
426323-10340,209,1672
484105-10150,218,1681
411296-12100,227,1690
484120-10550,236,1699
423177-10240,245,1708
423555-10320,254,1717
423175-10080,263,1726
423176-10080,272,1735
423275-10010,281,1744
413114-10210,290,1753
455167-15850,299,1762
423313-11300,308,1771
432956-10090,317,1780
423314-11300,326,1789
426154-10490,335,1798
426168-10160,344,1807
426132-10440,353,1816
414557-10090,362,1825
412150-10660,371,1834
414558-10130,380,1843
412160-10840,389,1852
423275-11880,398,1861
Y030JE150_6360,407,1870
Y030JE098_6360,416,1879
Y050JE106_6360,425,1888
Y020JE388_6360,434,1897
Y200JE038_6360,443,1906
Y030JE092_6360,452,1915
Y030JE137_6360,461,1924
Y050JE131_6360,470,1933
Y030JE168_6360,479,1942
Y010JE904_6360,488,1951
Y050JE091_6360,497,1960
Y020JE301_6360,506,1969
Y201JE006_6360,515,1978
Y011JE009_6360,524,1987
Y050JE156_6360,533,1996
423141-11620,542,2005
423187-10670,551,2014
423275-10030,560,2023
423275-11890,569,2032
423141-11360,578,2041
423187-10551,587,2050
423275-10030,596,2059
423601-12320-11H,605,2068
423601-12230-200,614,2077
423602-11940-200,623,2086
423602-11940-438,632,2095
423601-12230-438,641,2104
423602-11940-12N,650,2113
423601-12230-12N,659,2122
423602-12030-12N,668,2131
423601-12320-12N,677,2140
423601-12230,686,2149
423602-11940,695,2158
423602-12030-11H,704,2167
423601-10150-11V,713,2176
,722,2185
423602-10100-004,731,2194
423602-10100-11V,740,2203
423601-10150-004,749,2212
455105-10890,758,2221
455106-10780,767,2230
455107-10920,776,2239
,785,2248
455105-10950,794,2257
455106-10830,803,2266
455107-10980,812,2275
455108-10900,821,2284
455105-10950,830,2293
455106-10830,839,2302
455107-10980,848,2311
455108-10900,857,2320
423110-13430,866,2329
423120-10700,875,2338
423110-13160,884,2347
423120-10640,893,2356
423130-11790,902,2365
423130-11790-A0A,911,2374
423130-11790,920,2383
423130-11780,929,2392
423130-11790,938,2401
423130-11790-B1L,947,2410
423120-13690,956,2419
423120-13690,965,2428
423120-13690-B1L,974,2437
423110-13690,983,2446
423110-13690,992,2455
423110-13640,1001,2464
423110-13690,1010,2473
423140-11780,1019,2482
423110-13690,1028,2491
423120-13690,1037,2500
423140-11790-A0A,1046,2509
423140-11790,1055,2518
423110-13690-B1L,1064,2527
423140-11790,1073,2536
423140-11790-B1L,1082,2545
423140-11790,1091,2554
423120-13690,1100,2563
423120-13640,1109,2572
423130-11790,1118,2581
423140-11790,1127,2590
423120-13690,1136,2599
423110-13690,1145,2608
423501-10140,1154,2617
,1163,2626
423501-10360,1172,2635
423111-10250,1181,2644
423111-10250,1190,2653
423110-10410,1199,2662
423110-10410,1208,2671
423110-10410,1217,2680
423111-10100,1226,2689
423111-10250,1235,2698
423111-10250,1244,2707
423111-10250,1253,2716
,1262,2725
423207-10420,1271,2734
423205-10040,1280,2743
423205-10040,1289,2752
423207-10200,1298,2761
423207-10420,1307,2770
423205-10040,1316,2779
423205-10050,1325,2788
423205-10050,1334,2797
423205-10030,1343,2806
423275-10010,1352,2815
423207-10420,5,100
423207-10420,8,160
423207-10420,11,220
423207-10420,14,280
423207-10420,17,340
423207-10420,20,400
423207-10420,23,460
423207-10420,26,520
423207-10210,29,580
423207-10210,32,640
423207-10420,35,700
423205-10040,38,760
423207-10420,41,820
423207-10420,44,880
423205-10040,47,940
423207-10420,50,1000
423207-10420,53,1060
423207-10420,56,1120
423207-10420,59,1180
423207-10200,62,1240
423205-10050,65,1300
423207-10210,68,1360
423110-13710,71,1420
423110-13710,74,1480
423110-13710,77,1540
423110-13710,78,1541
423110-13710,79,1542
423110-13710,80,1543
423110-13710,81,1544
423110-13710,82,1545
423110-10670,83,1546
423110-13710,84,1547
,85,1548
,86,1549
,87,1550
423110-13710,88,1551
423207-10420,89,1552
423110-13710,90,1553
423105-10150,91,1554
423106-10110,92,1555
423107-10660,93,1556
423108-10650,94,1557
423105-10310,95,1558
423106-10200,96,1559
423107-10450,97,1560
423108-10430,98,1561
423107-10900,99,1562
423108-10870,100,1563
423105-11460,101,1564
423105-11450,110,1573
423106-11460,119,1582
423106-11450,128,1591
423107-11590,137,1600
423108-11590,146,1609
423205-10180,155,1618
423205-10180,164,1627
423205-10180,173,1636
423205-10180,182,1645
423205-10180,191,1654
423205-10180,200,1663
423205-10180,209,1672
423205-10180,218,1681
423207-10220,227,1690
423207-10220,236,1699
423207-10220,245,1708
423207-10220,254,1717
423207-10220,263,1726
423207-10220,272,1735
423207-10220,281,1744
423207-10220,290,1753
423275-10310,299,1762
423207-10230,308,1771
423205-10180,317,1780
423205-10180,326,1789
423207-10220,335,1798
423275-10290,344,1807
423207-10220,353,1816
484170-10850,362,1825
423110-13830,371,1834
423110-13820-A01,380,1843
423110-13820-A0U,389,1852
423110-13820-B1R,398,1861
423110-13820-B2M,407,1870
423110-13820-C0H,416,1879
423110-13820-E2V,425,1888
423110-13820-E35,434,1897
423110-13820-J4N,443,1906
423110-13820-G3C,452,1915
423105-11660,461,1924
423106-11660,470,1933
423107-11770,479,1942
423108-11770,488,1951
423205-11460,497,1960
423205-11480-A01,506,1969
423205-11480-A0U,515,1978
423205-11480-B1R,524,1987
423205-11480-B2M,533,1996
423205-11480-C0H,542,2005
423205-11480-E2V,551,2014
423205-11480-E35,560,2023
423205-11480-J4N,569,2032
423205-11480-G3C,578,2041
423207-11180,587,2050
423207-11200-A01,596,2059
423207-11200-A0U,605,2068
423207-11200-B1R,614,2077
423207-11200-B2M,623,2086
423207-11200-C0H,632,2095
423207-11200-E2V,641,2104
423207-11200-E35,650,2113
423207-11200-J4N,659,2122
423207-11200-G3C,668,2131
439430-12511,677,2140
439430-12521,686,2149
439430-13330,695,2158
439430-13340,704,2167
439430-12531,713,2176
439430-12541,722,2185
439430-12511,731,2194
439430-12521,740,2203
439430-13330,749,2212
439430-13340,758,2221
439430-12531,767,2230
439430-12541,776,2239
484170-10330-Z2S,785,2248
484170-10330,794,2257
484170-10330,803,2266
484170-10330,812,2275
484170-10330,821,2284
484170-10330,830,2293
423110-13260,839,2302
423110-13260,848,2311
423110-13260,857,2320
423110-13260,866,2329
423110-13260,875,2338
423110-13260,884,2347
423105-10370,893,2356
423106-10260,902,2365
423275-10800,911,2374
423275-10800,920,2383
423275-10800,929,2392
423275-10800,938,2401
423275-10800,947,2410
423275-10800,956,2419
423205-10470,965,2428
423205-10470,974,2437
423205-10470,983,2446
423205-10470,992,2455
423205-10470,1001,2464
423205-10470,1010,2473
423207-10540,1019,2482
423207-10540,1028,2491
423207-10540,1037,2500
423207-10540,1046,2509
423207-10540,1055,2518
423207-10540,1064,2527
426110-10600,1073,2536
426120-10650,1082,2545
426120-10730,1091,2554
423670-11010,1100,2563
423670-11020,1109,2572
423680-11040,1118,2581
423680-10890,1127,2590
413110-10410,1136,2599
413120-10470,1145,2608
414540-10600,1154,2617
414540-10610,1163,2626
414530-10380,1172,2635
414530-10390,1181,2644
416740-10300,1190,2653
416520-10430,1199,2662
416520-10440,1208,2671
423105-11140,1217,2680
423106-10680,1226,2689
423107-11800,1235,2698
423108-11800,1244,2707
484170-10870-A01,1253,2716
484170-10870-B1L,1262,2725
484170-10870-B2M,1271,2734
484170-10870-C0H,1280,2743
484170-10870-F10,1289,2752
484170-10870-E2N,1298,2761
484170-10870-E37,1307,2770
423110-14180-A01,1316,2779
423110-14180-B1L,1325,2788
423110-14180-B2M,1334,2797
423110-14180-C0H,1343,2806
423110-14180-F10,1352,2815
423110-14180-E2N,5,100
423110-14180-E37,8,160
423110-14190,11,220
423130-11870-A01,14,280
423130-11870-B1L,17,340
423130-11870-B2M,20,400
423130-11870-C0H,23,460
423130-11870-F10,26,520
423130-11870-E2N,29,580
423130-11870-E37,32,640
423130-11880,35,700
423275-11050-A01,38,760
423275-11050-B1L,41,820
423275-11050-B2M,44,880
423275-11050-C0H,47,940
423275-11050-F10,50,1000
423275-11050-E2N,53,1060
423275-11050-E37,56,1120
423205-10720-A01,59,1180
423205-10720-B1L,62,1240
423205-10720-B2M,65,1300
423205-10720-C0H,68,1360
423205-10720-F10,71,1420
423205-10720-E2N,74,1480
423205-10720-E37,77,1540
423275-11070,78,1541
423205-10740,79,1542
423141-11360,80,1543
423187-10551,81,1544
455105-10970,82,1545
455106-10840,83,1546
455107-11010,84,1547
455108-10950,85,1548
455107-11020,86,1549
455108-10970,87,1550
423275-10030,88,1551
423111-10250-A01,89,1552
423111-10250-A0U,90,1553
423111-10250-B1L,91,1554
423111-10250-B2M,92,1555
423111-10250-C0H,93,1556
423111-10250-D2X,94,1557
423111-10250-F10,95,1558
423111-10250-E37,96,1559
423111-10250,97,1560
423111-10250-J4F,98,1561
423275-10010-A01,99,1562
423275-10010-A0U,100,1563
423275-10010-B1L,101,1564
423275-10010-B2M,110,1573
423275-10010-C0H,119,1582
423275-10010-D2X,128,1591
423275-10010-F10,137,1600
423275-10010-E37,146,1609
423275-10010-E38,155,1618
423275-10010-J4F,164,1627
423275-10020,173,1636
423111-10100,182,1645
423275-11920,191,1654
423275-11920,200,1663
423275-11920,209,1672
423275-11920,218,1681
423275-11920,227,1690
423275-11920,236,1699
423275-11920,245,1708
423275-11920,254,1717
423275-11920,263,1726
423275-11890,272,1735
423141-11620,281,1744
423187-10670,290,1753
423275-10310,299,1762
423275-10290,308,1771
423275-10290,317,1780
423275-10290,326,1789
423275-10290,335,1798
423275-10290,344,1807
423275-10290,353,1816
423275-10290,362,1825
423275-10290,371,1834
423275-10030,380,1843
423111-10250-A01,389,1852
423275-10010,398,1861
423275-10010,407,1870
423111-10250-A0U,416,1879
423111-10250,425,1888
423111-10250,434,1897
423111-10250,443,1906
423111-10250,452,1915
423111-10250,461,1924
423111-10250,470,1933
423111-10250,479,1942
423275-10010-A01,488,1951
423275-10010-A0U,497,1960
423275-10010,506,1969
423275-10010,515,1978
423275-10010,524,1987
423275-10010,533,1996
423275-10010,542,2005
423275-10010,551,2014
423111-10250,560,2023
423275-10010,569,2032
423275-10020,578,2041
423275-10010,587,2050
423275-10010,596,2059
423275-10010,605,2068
423275-10010,614,2077
423111-10250,623,2086
423275-10290,632,2095
423275-10310,641,2104
423275-10290,650,2113
423275-10290,659,2122
423275-10290,668,2131
423275-10290,677,2140
423275-10290,686,2149
423275-10290,695,2158
423275-10290,704,2167
423275-10290,713,2176
423275-11920,722,2185
423275-11920,731,2194
423275-11920,740,2203
423275-11920,749,2212
423275-11920,758,2221
423275-11920,767,2230
423275-11920,776,2239
423275-11920,785,2248
423275-11920,794,2257
423275-11890,803,2266
423141-11620,812,2275
423187-10670,821,2284
423120-14170-AA7,830,2293
423120-14170-BAQ,839,2302
423120-14170-CA8,848,2311
423120-14170-BAN,857,2320
423120-14170-EAD,866,2329
423120-14170-DAD,875,2338
423110-14170-AA7,884,2347
423110-14170-BAQ,893,2356
423110-14170-CA8,902,2365
423110-14170-BAN,911,2374
423110-14170-EAD,920,2383
423110-14170-DAD,929,2392
484180-11210-AA7,938,2401
484180-11210-BAQ,947,2410
484180-11210-CA8,956,2419
484180-11210-BAN,965,2428
484180-11210-EAD,974,2437
484180-11210-DAD,983,2446
484170-11210-AA7,992,2455
484170-11210-BAQ,1001,2464
484170-11210-CA8,1010,2473
484170-11210-BAN,1019,2482
484170-11210-EAD,1028,2491
484170-11210-DAD,1037,2500
423120-14280,1046,2509
423110-14280,1055,2518
484180-11270,1064,2527
484170-11270,1073,2536
423206-11870-AA7,1082,2545
423206-11870-BAQ,1091,2554
423206-11870-CA8,1100,2563
423206-11870-BAN,1109,2572
423206-11870-EAD,1118,2581
423206-11870-DAD,1127,2590
423205-11870-AA7,1136,2599
423205-11870-BAQ,1145,2608
423205-11870-CA8,1154,2617
423205-11870-BAN,1163,2626
423205-11870-EAD,1172,2635
423205-11870-DAD,1181,2644
423276-12200-AA7,1190,2653
423276-12200-BAQ,1199,2662
423276-12200-CA8,1208,2671
423276-12200-BAN,1217,2680
423276-12200-EAD,1226,2689
423276-12200-DAD,1235,2698
423275-12200-AA7,1244,2707
423275-12200-BAQ,1253,2716
423275-12200-CA8,1262,2725
423275-12200-BAN,1271,2734
423275-12200-EAD,1280,2743
423275-12200-DAD,1289,2752
423206-11920,1298,2761
423205-11920,1307,2770
423276-12280,1316,2779
423275-12280,1325,2788
423106-11770,1334,2797
423105-11770,1343,2806
423142-11690,1352,2815
423141-11690,5,100
423197-10840,8,160
423187-10840,11,220
412453-10030,14,280
416716-10160,17,340
426115-10490,20,400
416502-10200,23,460
423116-10520,26,520
423325-10020,29,580
423116-10080,32,640
484107-10140,35,700
426131-10450,38,760
426112-10190,41,820
426310-10481,44,880
414611-10080,47,940
426116-10630,50,1000
414612-10200,53,1060
426156-10430,56,1120
413103-10010,59,1180
426105-10300,62,1240
414555-10070,65,1300
414556-10090,68,1360
426105-10290,71,1420
426320-10471,74,1480
426320-10430,77,1540
426161-10070,78,1541
426183-10270,79,1542
426111-10180,80,1543
426334-10130,81,1544
413197-10070,82,1545
423185-10010,83,1546
413203-10150,84,1547
423351-10380,85,1548
423186-10020,86,1549
416481-10380,87,1550
423141-10220,88,1551
426163-10270,89,1552
423142-10090,90,1553
426183-10370,91,1554
423314-10170,92,1555
423275-11060,93,1556
423313-10210,94,1557
423177-10060,95,1558
432748-10230,96,1559
423178-10060,97,1560
432991-10060,98,1561
423194-10250,99,1562
416443-10100,100,1563
414532-10190,101,1564
416447-10040,110,1573
414533-10090,119,1582
455177-11960,128,1591
414534-10100,137,1600
414531-10110,146,1609
414322-10070,155,1618
412112-10400,164,1627
416433-10420,173,1636
412114-10270,182,1645
416434-10580,191,1654
416441-10490,200,1663
416431-10440,209,1672
416442-10470,218,1681
416432-10600,227,1690
426163-10160,236,1699
416541-10040,245,1708
426395-10060,254,1717
451571-10620,263,1726
423692-10160,272,1735
414548-10110,281,1744
411195-10100,290,1753
423694-10010,299,1762
414547-10090,308,1771
411195-10470,317,1780
423694-10020,326,1789
412112-10530,335,1798
411195-10110,344,1807
412472-10080,353,1816
416448-10060,362,1825
416435-10330,371,1834
981131-06035,380,1843
413397-10010,389,1852
416481-10390,398,1861
416436-10320,407,1870
412453-10360,416,1879
414195-10010,425,1888
416491-10030,434,1897
412114-10410,443,1906
412471-10070,452,1915
416444-10140,461,1924
416491-10410,470,1933
414686-10020,479,1942
414595-10160,488,1951
414685-10020,497,1960
414594-10080,506,1969
414595-10140,515,1978
414599-10030,524,1987
981521-40004,533,1996
981411-50005,542,2005
982461-03002,551,2014
414585-10050,560,2023
985131-05001,569,2032
414595-10130,578,2041
413191-10050,587,2050
414589-10010,596,2059
414587-10100,605,2068
413191-10060,614,2077
414545-10020,623,2086
994111-60300,632,2095
981551-40001,641,2104
416787-10080,650,2113
414546-10020,659,2122
411198-10050,668,2131
412165-10050,677,2140
414584-10020,686,2149
411296-11180,695,2158
416787-10090,704,2167
414399-10040,713,2176
414585-10070,722,2185
411296-11820,731,2194
416788-10020,740,2203
416599-10050,749,2212
414586-10020,758,2221
412113-10450,767,2230
451572-10660,776,2239
413334-10020,785,2248
412453-10800,794,2257
413135-10170,803,2266
416493-10130,812,2275
412472-10050,821,2284
413136-10170,830,2293
416494-10050,839,2302
412471-10050,848,2311
413333-10020,857,2320
414321-10060,866,2329
413131-10180,875,2338
413191-10090,884,2347
412111-10570,893,2356
413131-10250,902,2365
412111-10590,911,2374
413132-10250,920,2383
412113-10470,929,2392
413132-10180,938,2401
416761-10040,947,2410
423194-10030,956,2419
416761-10170,965,2428
413201-10090,974,2437
416766-10160,983,2446
413202-10150,992,2455
484133-10570,1001,2464
413105-10030,1010,2473
423511-10160,1019,2482
423552-10010,1028,2491
423275-10700,1037,2500
432725-10010,1046,2509
432743-10210,1055,2518
423116-10360,1064,2527
